iter	Passed	Remaining
0	158	79035
1	168	41994
2	178	29565
3	189	23438
4	200	19812
5	211	17426
6	222	15646
7	234	14417
8	246	13429
9	257	12627
10	268	11943
11	279	11374
12	291	10930
13	303	10533
14	315	10200
15	327	9911
16	340	9666
17	351	9421
18	364	9216
19	375	9010
20	387	8832
21	400	8703
22	414	8591
23	427	8472
24	439	8354
25	452	8253
26	467	8188
27	480	8104
28	494	8034
29	509	7981
30	524	7942
31	549	8037
32	568	8042
33	590	8099
34	612	8136
35	635	8184
36	654	8191
37	674	8201
38	690	8161
39	706	8122
40	722	8086
41	740	8074
42	768	8164
43	783	8116
44	796	8050
45	811	8004
46	826	7962
47	841	7925
48	856	7883
49	871	7843
50	892	7860
51	911	7849
52	930	7846
53	950	7850
54	967	7831
55	988	7838
56	1009	7845
57	1027	7833
58	1045	7817
59	1061	7786
60	1078	7762
61	1093	7724
62	1106	7672
63	1119	7625
64	1134	7594
65	1149	7560
66	1164	7527
67	1178	7488
68	1193	7455
69	1208	7420
70	1224	7401
71	1240	7374
72	1268	7417
73	1282	7382
74	1296	7344
75	1310	7311
76	1325	7281
77	1342	7264
78	1363	7266
79	1392	7308
80	1408	7288
81	1426	7271
82	1442	7249
83	1459	7228
84	1477	7214
85	1495	7197
86	1511	7173
87	1527	7152
88	1545	7136
89	1561	7113
90	1578	7094
91	1594	7069
92	1611	7050
93	1629	7037
94	1645	7014
95	1661	6990
96	1677	6969
97	1692	6943
98	1708	6919
99	1723	6895
100	1741	6879
101	1759	6867
102	1775	6844
103	1794	6833
104	1814	6825
105	1831	6807
106	1845	6777
107	1861	6755
108	1879	6743
109	1893	6713
110	1907	6686
111	1923	6663
112	1938	6639
113	1953	6614
114	1968	6590
115	1986	6575
116	2013	6589
117	2035	6588
118	2061	6599
119	2080	6588
120	2098	6573
121	2116	6558
122	2133	6540
123	2151	6522
124	2166	6499
125	2181	6474
126	2196	6451
127	2210	6424
128	2224	6397
129	2238	6370
130	2251	6340
131	2265	6315
132	2279	6291
133	2293	6265
134	2306	6236
135	2320	6211
136	2333	6182
137	2345	6153
138	2359	6127
139	2375	6108
140	2393	6094
141	2414	6087
142	2431	6071
143	2451	6060
144	2472	6052
145	2490	6039
146	2506	6019
147	2525	6005
148	2546	5999
149	2563	5980
150	2579	5961
151	2595	5941
152	2611	5922
153	2629	5906
154	2644	5887
155	2660	5865
156	2679	5854
157	2695	5834
158	2710	5813
159	2725	5792
160	2739	5768
161	2754	5746
162	2769	5725
163	2785	5705
164	2800	5685
165	2816	5666
166	2829	5642
167	2845	5623
168	2859	5601
169	2874	5580
170	2890	5562
171	2905	5540
172	2919	5518
173	2934	5498
174	2950	5478
175	2965	5459
176	2980	5439
177	2997	5421
178	3011	5400
179	3025	5379
180	3043	5363
181	3058	5343
182	3071	5320
183	3086	5300
184	3100	5279
185	3116	5260
186	3131	5242
187	3147	5222
188	3162	5203
189	3177	5183
190	3190	5161
191	3203	5138
192	3218	5118
193	3232	5099
194	3247	5078
195	3260	5057
196	3274	5037
197	3289	5016
198	3301	4994
199	3314	4971
200	3328	4951
201	3343	4932
202	3357	4912
203	3372	4893
204	3384	4871
205	3397	4849
206	3410	4827
207	3424	4807
208	3438	4787
209	3452	4767
210	3464	4745
211	3477	4724
212	3490	4703
213	3503	4682
214	3516	4661
215	3529	4640
216	3542	4620
217	3555	4599
218	3569	4580
219	3582	4559
220	3595	4538
221	3607	4517
222	3622	4499
223	3636	4480
224	3650	4461
225	3663	4441
226	3675	4420
227	3688	4400
228	3701	4380
229	3724	4372
230	3737	4352
231	3750	4332
232	3764	4313
233	3777	4293
234	3789	4273
235	3801	4252
236	3814	4232
237	3826	4212
238	3842	4196
239	3860	4182
240	3876	4165
241	3888	4145
242	3902	4127
243	3916	4109
